tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Flamboyan Terusan,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Masjid Al-Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,3,166000000,2018-10-01
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Let. Jen Suprapto ( Arah Cempaka mas ),Sumur Batu,Kemayoran,Kota Administrasi Jakarta Pusat,0,20000000,2018-10-01
2018-10-14,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. KH Zainul Arifin No. 59,Petojo Utara,Gambir,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kemang 1 B,Bangka,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,1000000000,2018-10-01
2018-10-14,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Cipinang Muara IV,Jatinegara,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-14,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pertanian Tengah,klender,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Komarudin Sisi Barat Tol JOR,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-14,Penyelamatan,Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Masyarakat Telepon,Jl. Salamun II No.61,Pondok Rangon,Cipayung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-14,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Tambak,Pegangsaan,Menteng,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-14,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Benyamin Sueb (Wisma Atlet Pademangan),Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-14,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. HBR. Motik (Wisma Atlet Kemayoran),Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Arjuna Raya,Kedoya Selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Petugas Pemadam,JL Utama Sakti 8,Wijaya Kusuma,Grogol Petamburan,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Perum Interkota Blok C2 No. 9 dan 10,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Borobudur Raya (Titik Kenal Kav. DPR),Jatinegara,Cakung,Kota Administrasi Jakarta Timur,1,350000000,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Gereja Tugu,Semper Barat,Cilincing,Kota Administrasi Jakarta Utara,3,50000000,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Karet Pasar Baru, Gg. Buaya",Karet Tengsin,Tanah Abang,Kota Administrasi Jakarta Pusat,1,10000000,2018-10-01
2018-10-15,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl.Ps.Tanah Abang Blok A No.7,Kampung Bali,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.H.Ipin No.42,pondok Labu,Cilandak,Kota Administrasi Jakarta Selatan,0,1000000,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Perumahan Green Garden,Rorotan,Cilincing,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-15,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Instansi Lain,Matraman Raya No.147,Pal Meriam,Matraman,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-15,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Raya Pasar Minggu No.100,Duren Tiga,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Cucur Timur Blok A No.4,Tangerang,Tangerang,Kota Tangerang,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Gunung Sahari Raya No.34,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,0,5000000,2018-10-01
2018-10-15,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tipar Cakung Gg.Gramedia,Sukapura,Cilincing,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-15,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl.Pademangan II Gg.15,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-15,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tener Raya No.2,Kayu Putih,Pulogadung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Duri Baru,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,0,2000000,2018-10-01
2018-10-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Delima I,Malaka Sari,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-16,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Bendungan Jago No.27,Serdang,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-15,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Masdjid,Bidara Cina,Jatinegara,Kota Administrasi Jakarta Timur,0,20000000,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Gedung POPKI ciracas,Cibubur,Ciracas,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Gedung Veldrome Jl. Balap sepeda,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Lodan Timur ( Taman Impian Jaya Ancol ) (Venue Bowling),Kelapa gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Lodan Timur No. 7 (Ecovention Hall Venue Table Tenis),Ancol,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Yos Sudarso (Tanjung Priok Sport Hall),Kebon bawang,Tanjung Priok,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jalan Boulevard Raya Blok KGC ( Klub Kelapa Gading ),Kelapa gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Pintu Merah GBK Senayan,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Wisma ATLET Kemayoran Tower 3,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,GOR Cempaka Putih,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Lapangan Hoki GBK,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-10,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Stadion Aquatics GBK,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"SMKI Ruhama, Jl. Taruma Negara No.67 (Kel. Pisang, Kec. Ciputat Timur, Tangsel)",Tangerang,Tangerang,Kota Tangerang,0,0,2018-10-01
2018-10-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Stadion GBK, Jl. Asia Afrika",Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,PIK Blok A,Penggilingan,Cakung,Kota Administrasi Jakarta Timur,1,50000000,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Bandengan Utara,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,0,200000000,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kertajaya,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,1,400000000,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Marga Satwa Raya No. 6,pondok Labu,Cilandak,Kota Administrasi Jakarta Selatan,1,2500000,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Perdatam No.17,Ulujami,Pesanggrahan,Kota Administrasi Jakarta Selatan,1,200000000,2018-10-01
