tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pisangan Baru II,Pisangan Baru,Matraman,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-01,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Tol Prumpung/Jagorawi KM. 2/600,Cipinang Besar Utara,Jatinegara,Kota Administrasi Jakarta Timur,0,150000000,2018-02-01
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Stasiun Sudirman, Jl. Kendal",Menteng,Menteng,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-01,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Kramat Jaya,Tugu Utara,Koja,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pedongkelan Raya,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,1,1215000000,2018-02-01
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pinding No. 1,cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. TB Simatupang,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,0,25000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl.Pademangan II Gg.26,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Jatipadang III,Jatipadang,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,5000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Pancoran Barat VI No 66,Pancoran,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.MT.Haryono,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,0,6000000,2018-02-01
2018-02-02,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Jl.Expo Kemayoran,Kemayoran,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.Prancis,Pergudangan 77",Dadap,Tangerang,Kabupaten Tangerang,0,100000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Abdurahman,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Gedung Wisma Nusantara 3 MPR/DPR Jl. Jendral Gatot Subroto,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,300000000,2018-02-01
2018-02-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Pulau Tidung,Pulau Tidung,Kep. Seribu Selatan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-03,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Benyamin Sueb,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sawo Dalam II,Baru,Pasar Rebo,Kota Administrasi Jakarta Timur,1,300000000,2018-02-01
2018-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Cikoko Barat 1No.1,Cikoko,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl.Swadaya Gudang Baru .B, No.101",Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Dewi Sartika No.115c,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Gedung Jiexpo Kemayoran,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Galur Sari Timur,Utan Kayu Selatan,Matraman,Kota Administrasi Jakarta Timur,0,120000000,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Kerajinan 1,Keagungan,Tamansari,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-04,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Kampung Bandan,Ancol,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-04,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl. Pasar Senen Dalam VIII,Senen,Senen,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Ruko Ketapang Indah Blok BI No.24-25, Jl. KH. Zainul Arifin",Krukut,Tamansari,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-04,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. KH. Mas Mansyur No.92AB,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Cipinang Baru Raya No.25,Cipinang,Pulogadung,Kota Administrasi Jakarta Timur,0,15000000,2018-02-01
2018-02-04,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. M. Kahfi I,Cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,0,2000000,2018-02-01
2018-02-04,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Bendi 6,Kebayoran lama Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-04,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Masjid An- Nur,Grogol Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Tridarma,Kalisari,Pasar Rebo,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-04,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Cileduk Raya,Ulujami,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. BCS Gang II,Pegangsaan Dua,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kapuk Kamal No.388,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Slamet Riyadi 4 No 4,Kebon Manggis,Matraman,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Petugas Instansi Lain,"Jl.Setiakawan,Cililitan Kecil III",Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Petugas Instansi Lain,Jl.Cililitan Kecil III,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Gg.Seruni,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Gg.Lanang,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Tanjung Sanyang ( Belakang Budi Asih ),Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Eretan Balekambang no 123,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Ciliwung,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Gedong,Gedong,Pasar Rebo,Kota Administrasi Jakarta Timur,32,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Bidara Cina,Bidara CIna,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.Kebon Pala Tanah Rendah Gg,II No 32",Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Bunggur raya dan Gunung sahari,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Kampung Gusti,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Gunuk,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,50000000,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Gunuk V,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Gg.Perintis,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Gg.Buntu,Petukangan Selatan,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Komplek Zeni,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Bina Marga,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.Masjid Al-Makmur,Gg.Buntu",Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,85,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.J,Perintis",Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Instansi Lain,Jl.Pasar Jumat,Lebak bulus,Cilandak,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Raya Cakung Cilincing,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Perumahan Bukit Duri Permai,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Taman Harapan,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kayu Manis,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kebon Pala,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pengadegan Timur I,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Kp. Lebak,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Masjid Al - Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-09,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Jatinegara Barat,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-09,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,"SMK Pekojan, Jl. Gedung Panjang No.17",Pekojan,Tambora,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-09,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Prepedan Raya No.99,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-09,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Tenlis I No.24,Kebon Melati,Tanah Abang,Kota Administrasi Jakarta Pusat,0,300000,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Masjid Al Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Gunuk, Poltangan",Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Pangadegan Timur,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Bina Warga ( Komp Zeni V ),Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-10,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Deli Lorong 26,Koja,Koja,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-10,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Lembah Aren 10 Blok K.1, Kavling DKI",Pondok kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-10,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Ampera Raya Gg. Melati,Cilandak Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-10,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pinding No.40,Cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Bambu Kuning Utara 2,Cipayung,Cipayung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Rw.008 Kampung Melayu,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-10,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Kayu Manis,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-11,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.AMD 10 No 57,Petukangan Utara,Pesanggrahan,Kota Administrasi Jakarta Selatan,1,7500000,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Rasa Mala Raya Gg.marzuki,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.AMD V,SMA 63",Petukangan Utara,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Pegadengan Timur Dalam,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Kapten Tendean Gg.Jati,Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Pegadengan Timur,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Jendral Gatot Subroto,Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Tanjung Samyang,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Jembatan I,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-11,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Gg.Mushola Al-Hikmah,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-05,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Lenteng Agung Gg.Turi,Lenteng Agung,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Tmn Villa Meruya F3 No 14,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pangeran Jayakarta,Pinangsia,Tamansari,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Kemuning Dalam I,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Masjid Al - Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Sekirtaran Monas dan Bundaran HI,Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Gunung Sahari Raya,Pasar Baru,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kartini II,Kartini,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Bungur Besar Raya,Kemayoran,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunuk V,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pengadegan Timur III,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Boulevard Barat Depan Graha KWS,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-06,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. J. Gang Perintis,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-06,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Jakarta Siaga 112,Jl. Cililitan Kecil No.57,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Gedung Kementrian Luar Negri,Senen,Senen,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Raya Semanan No.67,Semanan,Kalideres,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-06,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. I Gusti Ngurah Rai,Malaka Jaya,Duren Sawit,Kota Administrasi Jakarta Timur,0,100000000,2018-02-01
2018-02-06,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Penjernihan I Dalam,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. TB. Simanupang No.20,Tanjung Barat,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Prapanca Raya,Petogogan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Buntu (Rt 05/08 dan Rt 17/07),Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Raya Jatinegara Barat (Kp. Pulo),Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gudang Peluru,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Ciliwung Ujung,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Jembatan 1,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. Lenteng Agung Raya,Lenteng Agung,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Lingkungan Rt 05/04,Marunda,Cilincing,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Gg. H. Sukur,Kamal,Kalideres,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sunan Giri (Pasar Sunan Giri),Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunung Sahari Raya,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Mangga Besar IX, Gg. Langgar",Tangki,Tamansari,Kota Administrasi Jakarta Barat,21,1125000000,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Manggarai Selatan,Manggarai Selatan,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Ciliwung 1,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunuk,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Kemang Utara 2B, No. 18",Bangka,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Rawa Gabus, No. 3",Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,0,0,2018-02-01
2018-02-07,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Petugas Pemadam,"Jl. K.H. Zainul Arifin, No. 71 (Kantor Dinas Damkar)",Duri Pulo,Gambir,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Sawah Lio, Gg. 12",Jembatan Lima,Tambora,Kota Administrasi Jakarta Barat,0,10000000,2018-02-01
2018-02-07,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Paso (Kav. Polri),Ragunan,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Pintu II Yamaha Motor,Rawa Terate,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Tumping I Blok CENo. 6,Pondok kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-07,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Bina Warga ( Komp Zeni V ),Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Slamet Riyadi 4,Kebon Manggis,Matraman,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-08,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Bina Warga,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Sunter Icon,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,0,20000000,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl.Masdjid Al-Makmur,Gg.Buntu",Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Inspeksi Ciliwung,Bukit Duri,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Bina Warga,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl.Taman Harapan,Rt,02,04,015 dan Rw,03",Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-08,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl.Dewi Sartika Blok Arus II,Rt,10,11,12,Rw02",Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-02-01
